Date,Price,Open,High,Low,Change_Percentage
2021-01-01,1898.1,1897.69,1899.12,1897.39,0.09
2021-01-04,1942.28,1906.05,1944.65,1905.36,2.33
2021-01-05,1949.35,1942.65,1953.17,1934.08,0.36
2021-01-06,1918.81,1950.3,1959.6,1901.11,-1.57
2021-01-07,1912.5,1919.4,1927.97,1906.86,-0.33
2021-01-08,1848.26,1912.9,1917.85,1828.74,-3.36
2021-01-11,1844.66,1849.34,1857.05,1817.14,-0.19
2021-01-12,1855.63,1845.34,1864.08,1837.41,0.59
2021-01-13,1843.41,1856.19,1863.26,1843.34,-0.66
2021-01-14,1846.37,1843.94,1857.59,1833.21,0.16
2021-01-15,1826.59,1846.8,1856.85,1823.21,-1.07
2021-01-18,1836.89,1828.94,1840.95,1810.46,0.56
2021-01-19,1839.34,1838.09,1845.98,1833.06,0.13
2021-01-20,1870.91,1840.05,1872.03,1832.46,1.72
2021-01-21,1869.91,1871.07,1875.45,1858.16,-0.05
2021-01-22,1852.55,1870.09,1871.17,1837.09,-0.93
2021-01-25,1854.99,1855.75,1868.45,1847.3,0.13
2021-01-26,1850.31,1855.55,1861.86,1848.36,-0.25
2021-01-27,1843.99,1850.65,1853.58,1831.29,-0.34
2021-01-28,1840.36,1844.34,1864.26,1833.81,-0.2
2021-01-29,1846.09,1840.9,1876.03,1839.56,0.31
2021-02-01,1860.16,1863.05,1871.84,1849.04,0.76
2021-02-02,1837.35,1860.84,1864.26,1829.46,-1.23
2021-02-03,1833.76,1837.49,1845.29,1829.49,-0.2
2021-02-04,1792.26,1834.34,1835.13,1785.15,-2.26
2021-02-05,1811.62,1792.49,1815.32,1791.8,1.08
2021-02-08,1830.16,1815.44,1839.15,1807.48,1.02
2021-02-09,1837.06,1830.59,1849.15,1828.63,0.38
2021-02-10,1842.22,1837.55,1855.7,1833.91,0.28
2021-02-11,1825.36,1842.65,1847.95,1820.63,-0.91
2021-02-12,1823.46,1825.9,1830.8,1810.33,-0.1
2021-02-15,1818.51,1825.34,1827.59,1815.71,-0.27
2021-02-16,1794.31,1819.34,1826.75,1789.19,-1.33
2021-02-17,1776.26,1794.65,1795.45,1769.27,-1.01
2021-02-18,1775.49,1776.69,1789.88,1767.98,-0.04
2021-02-19,1782.31,1776.19,1791.7,1760.13,0.38
2021-02-22,1808.66,1782.24,1812.76,1780.46,1.48
2021-02-23,1805.06,1809.09,1816.27,1795.78,-0.2
2021-02-24,1804.36,1805.34,1813.99,1783.3,-0.04
2021-02-25,1769.88,1804.8,1806.06,1765.44,-1.91
2021-02-26,1733.49,1770.49,1776.1,1717.26,-2.06
2021-03-01,1723.84,1733.4,1760.02,1719.52,-0.56
2021-03-02,1738.09,1724.1,1738.89,1707.18,0.83
2021-03-03,1710.95,1738.59,1740.85,1701.94,-1.56
2021-03-04,1697.19,1711.84,1723.34,1690.64,-0.8
2021-03-05,1700.86,1698.59,1707.76,1687.12,0.22
2021-03-08,1681.24,1702.8,1714.45,1676.7,-1.15
2021-03-09,1715.36,1682.55,1720.83,1679.8,2.03
2021-03-10,1726.05,1715.94,1726.76,1707.99,0.62
2021-03-11,1721.41,1726.55,1739.99,1719.38,-0.27
2021-03-12,1726.41,1721.59,1728.42,1698.85,0.29
2021-03-15,1731.84,1727.74,1734.99,1721.31,0.31
2021-03-16,1730.94,1730.57,1741.4,1725.8,-0.05
2021-03-17,1744.44,1730.61,1751.81,1724.14,0.78
2021-03-18,1736.41,1745.09,1755.59,1719.05,-0.46
2021-03-19,1744.74,1735.9,1746.88,1728.04,0.48
2021-03-22,1738.69,1745.74,1747.18,1727.4,-0.35
2021-03-23,1727.11,1739.05,1742.85,1724.42,-0.67
2021-03-24,1734.19,1727.8,1738.56,1723.85,0.41
2021-03-25,1726.82,1735.65,1745.95,1721.84,-0.42
2021-03-26,1731.97,1727.3,1737.01,1721.23,0.3
2021-03-29,1711.99,1732.15,1733.34,1705.58,-1.15
2021-03-30,1684.8,1712.55,1714.74,1678.85,-1.59
