Date,Price,Open,High,Low,Change_%,DayOfWeek
2000-01-03,289.0,288.5,289.0,289.0,0.26,Monday
2000-01-04,282.45,288.75,282.45,282.45,-2.27,Tuesday
2000-01-05,281.0,281.5,281.0,281.0,-0.51,Wednesday
2000-01-06,281.23,280.12,281.23,281.23,0.08,Thursday
2000-01-07,281.75,281.15,281.75,281.75,0.18,Friday
2000-01-10,281.48,281.88,281.48,281.48,-0.1,Monday
2000-01-11,283.38,281.48,283.38,283.38,0.68,Tuesday
2000-01-12,282.48,283.27,282.48,282.48,-0.32,Wednesday
2000-01-13,284.25,282.6,284.25,284.25,0.63,Thursday
2000-01-14,284.0,284.2,284.0,284.0,-0.09,Friday
2000-01-17,285.55,284.1,285.55,285.55,0.55,Monday
2000-01-18,288.65,285.55,288.65,288.65,1.09,Tuesday
2000-01-19,289.52,288.77,289.52,289.52,0.3,Wednesday
2000-01-20,288.62,289.62,288.62,288.62,-0.31,Thursday
2000-01-21,289.1,288.6,289.1,289.1,0.17,Friday
2000-01-24,287.7,289.05,287.7,287.7,-0.48,Monday
2000-01-25,285.85,287.6,285.85,285.85,-0.64,Tuesday
2000-01-26,285.95,285.95,285.95,285.95,0.03,Wednesday
2000-01-27,286.9,286.2,286.9,286.9,0.33,Thursday
2000-01-28,282.75,286.7,282.75,282.75,-1.45,Friday
2000-01-31,283.23,283.32,283.23,283.23,0.17,Monday
2000-02-01,282.62,283.27,282.62,282.62,-0.22,Tuesday
2000-02-02,284.88,282.88,284.88,284.88,0.8,Wednesday
2000-02-03,287.4,285.0,287.4,287.4,0.88,Thursday
2000-02-04,315.2,287.75,315.2,315.2,9.67,Friday
2000-02-07,301.8,310.0,301.8,301.8,-4.25,Monday
2000-02-08,299.0,302.25,299.0,299.0,-0.93,Tuesday
2000-02-09,306.25,301.25,306.25,306.25,2.42,Wednesday
2000-02-10,316.95,305.5,316.95,316.95,3.49,Thursday
2000-02-11,311.2,316.0,311.2,311.2,-1.81,Friday
2000-02-14,308.0,311.0,308.0,308.0,-1.03,Monday
2000-02-15,302.0,308.4,302.0,302.0,-1.95,Tuesday
2000-02-16,302.5,301.5,302.5,302.5,0.17,Wednesday
2000-02-17,301.25,302.5,301.25,301.25,-0.41,Thursday
2000-02-18,304.8,300.75,304.8,304.8,1.18,Friday
2000-02-21,305.5,304.5,305.5,305.5,0.23,Monday
2000-02-22,305.25,305.5,305.25,305.25,-0.08,Tuesday
2000-02-23,300.1,305.1,300.1,300.1,-1.69,Wednesday
2000-02-24,298.6,300.25,298.6,298.6,-0.5,Thursday
2000-02-25,292.6,298.5,292.6,292.6,-2.01,Friday
2000-02-28,292.25,292.75,292.25,292.25,-0.12,Monday
